age,gender,occupation,visitor_profile,ticket_purchase_method,ticket_type,special_event_ticket,ticket_purchase_ease,visitor_type,what are your preferred attraction(s)? select all that apply.,visit_month,visit_day,arrival_experience,queue_time_at_entry,entry_staff_service,"which attraction(s) did you visit? (select all that apply)
* includes meet-and-greets, theatre shows etc.",attraction_wait_time,used_express_pass,express_pass_satisfaction,attraction_staff_service,attraction_overall_experience,shopping_purchase,which store(s) did you visit? (select all that apply),merchandise_spend,merchandise_price_reasonable,merchandise_variety,food_purchase,"if your answer was ""yes"" above, which food outlet(s) did you visit? (select all that apply)",food_variety,food_quality,food_price_reasonable,food_spend,food_wait_time,visit_issues_resolved,overall_staff_service,park_cleanliness,park_seating_availability,restroom_accessibility,overall_satisfaction,which aspect of your visit was the most disappointing? (select all that apply),return_likelihood,recommendation_likelihood,additional_comments
18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,5,Group,"Kid-friendly, Shows, Food and Shopping",Oct - Dec,Weekends during Public/School Holidays,5,< 5 mins,Yes,"[The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Donkey Live, [Far Far Away] Happily Ever After",3,No,,5,5,Yes,[New York] Big Bird's Emporium,> $30,3,5,Yes,"[Hollywood] Mel's Drive-In, [Hollywood] Starbucks",5,3,2,$10 - $20,5 - 10 mins,No issues,5,5,Yes,5,5,Overcrowded attractions,Yes,Yes,food variety please better good food go back food
18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,5,Group,"Thrill Rides, Kid-friendly, Shows, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,3,10 - 20 mins,Not Applicable,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Jurassic Park Rapid Adventure",4,No,,4,4,No,,,3,4,No,[The Lost World] Discovery Food Court,3,3,2,$10 - $20,> 10 mins,No issues,4,3,No,3,4,"Long wait times, Overcrowded attractions",Yes,Yes,better crowd control locker area seating area place sit peak period staff locker area
18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,5,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,4,5 - 10 mins,Yes,"[New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Magic Potion Spin, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Donkey Live, [Far Far Away] Shrek 4-D Adventure, [Far Far Away] Happily Ever After",3,No,,4,4,Yes,"[Hollywood] Minion Mart, [Hollywood] Hello Kitty Studio Store, [Far Far Away] Fairy Godmother's Potion Shop",$10 - $20,3,5,Yes,"[Hollywood] Starbucks, [Ancient Egypt] Cairo Market, [Far Far Away] Frair's Good Food",3,4,4,$20 - $30,5 - 10 mins,No issues,4,4,Yes,4,4,"Long wait times, Poor weather conditions, Overcrowded attractions",Yes,Yes,queueing area perhaps could interactive element exhibition itll make waiting time boring dreadful larger area visitor could rest chill escape rain ride kinda impossible singapore given limited land available
18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,3,Group,"Thrill Rides, Shows, Food and Shopping, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,3,> 20 mins,Yes,"[New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Enchanted Airways, [Far Far Away] Magic Potion Spin, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",2,No,,3,4,No,,,2,4,Yes,"[Hollywood] Starbucks, [New York] Loui's NY Pizza Parlour™",3,3,2,$20 - $30,> 10 mins,No issues,3,3,No,3,3,"Long wait times, Overcrowded attractions",Yes,Yes,
26 - 35,Female,Employed,Singaporean,Physically at the entrance,One-day regular ticket,Yes,5,Group,"Thrill Rides, Shows, Special Events (e.g. Halloween Horror Nights)",Jul - Sep,Weekdays,5,< 5 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey",4,No,,4,4,No,,,3,3,Yes,[Far Far Away] Goldilocks,3,4,3,$10 - $20,< 5 mins,No issues,4,4,Yes,4,5,,Yes,Yes,ride longer cause enjoy much end hahaha count thorough cleaning sanitising seat ride would great cause handlebar stink promotional event ticket price well fb merchandise itll able attract consumer
18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,4,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,4,> 20 mins,Yes,"[Hollywood] Trolls Hug Time Jubilee, [New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Sci-Fi City] Sci-Fi Games, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters",3,No,,3,4,No,,,2,3,No,,3,2,1,,,No issues,3,4,Yes,4,4,"Long wait times, Limited dining options, Overcrowded attractions",Maybe,Yes,shorter queue man ik bopes maybe area cool aircon make new attraction man shit stagnant eon
26 - 35,Female,Employed,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,4,Group,Special Events (e.g. Halloween Horror Nights),Jul - Sep,Weekdays,4,10 - 20 mins,Yes,"[Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey",5,No,,4,5,No,,,3,4,No,,3,3,3,,,No issues,4,5,Yes,5,5,,Yes,Yes,
18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,4,Solo,"Thrill Rides, Food and Shopping, Special Events (e.g. Halloween Horror Nights)",Jul - Sep,Weekdays,4,5 - 10 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Enchanted Airways, [Far Far Away] Magic Potion Spin, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure, [Far Far Away] Happily Ever After",2,No,,5,4,Yes,[Hollywood] Candylicious,$20 - $30,3,5,Yes,"[Hollywood] Mel's Drive-In, [Sci-Fi City] Star Dots",3,3,2,$20 - $30,5 - 10 mins,No issues,5,4,Yes,4,4,Long wait times,Yes,Yes,lesser waiting time waiting time shorter
18 - 25,Female,Student,Singaporean,Physically at the entrance,One-day regular ticket,No,4,Group,"Thrill Rides, Kid-friendly, Food and Shopping",Apr - Jun,Weekdays during Public/School Holidays,4,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] Raptor Encounter with Blue, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Donkey Live, [Far Far Away] Shrek 4-D Adventure",3,No,,3,4,No,,,2,3,Yes,[The Lost World] Fossil Fuels,3,4,3,$10 - $20,5 - 10 mins,No issues,4,3,Yes,5,4,Long wait times,Maybe,Yes,shorter queuing time cooking environment restroom next jurassic park wet
18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,4,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,3,10 - 20 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Puss In Boots' Giant Journey",2,No,,4,5,No,,,1,4,Yes,[The Lost World] Fossil Fuels,3,2,1,$10 - $20,5 - 10 mins,No issues,3,4,No,5,4,"Long wait times, Overcrowded attractions",Yes,Yes,queue could move faster cleanliness toilet sitting bench improve wait time limit amount people enter park per day also make sure toilet cleaned often day staff enthusiastic
18 - 25,Female,Student,Singaporean,Physically at the entrance,One-day regular ticket,No,5,Group,"Thrill Rides, Food and Shopping",Oct - Dec,Weekdays during Public/School Holidays,4,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways",3,No,,4,4,Yes,[Hollywood] Minion Mart,$20 - $30,2,3,Yes,[New York] Loui's NY Pizza Parlour™,3,3,2,$10 - $20,> 10 mins,No issues,4,3,Yes,3,4,Overcrowded attractions,Yes,No,shorter queue toilet cleaner newer ride main ride havent really changed last year
18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,No,4,Group,"Thrill Rides, Kid-friendly, Shows",Jul - Sep,Weekdays,4,5 - 10 mins,Not Applicable,"[Hollywood] Trolls Hug Time Jubilee, [New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [The Lost World] Raptor Encounter with Blue, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",4,No,,4,4,No,"NA, [Hollywood] Minion Mart, [Hollywood] Candylicious, [The Lost World] The Dino-Store, [Far Far Away] Fairy Godmother's Potion Shop",,4,4,No,,4,3,3,,,No issues,5,4,Yes,4,4,Poor weather conditions,Yes,Yes,longer ride aircon shelter
18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,5,Group,"Thrill Rides, Kid-friendly",Jan - Mar,Weekdays,4,< 5 mins,Yes,"[Hollywood] Trolls Hug Time Jubilee, [New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [Far Far Away] Happily Ever After",1,No,,3,2,No,,,1,5,No,,2,2,2,,,No issues,4,4,Yes,4,4,"Long wait times, Overcrowded attractions",No,Yes,less queue shelter queuing less crowd
18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,5,Group,Thrill Rides,Jul - Sep,Weekdays,5,< 5 mins,Yes,"[Hollywood] Trolls Hug Time Jubilee, [New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Accelerator, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Sci-Fi City] Sci-Fi Games, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Enchanted Airways, [Far Far Away] Magic Potion Spin, [Far Far Away] Shrek 4-D Adventure",1,No,,2,2,No,,,2,5,No,,2,4,2,,,No issues,4,4,Yes,4,4,Long wait times,Maybe,Yes,engaging activity queue sheltered walkway waiting engaging thing queueing
18 - 25,Female,Employed,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,3,Group,"Thrill Rides, Kid-friendly, Shows, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays during Public/School Holidays,3,< 5 mins,Yes,"[New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey",2,No,,3,3,No,"NA, [Hollywood] Universal Studios Store, [Sci-Fi City] Transformers Supply Vault",,2,3,No,,2,2,1,,,No issues,3,3,Yes,3,3,"Long wait times, Poor weather conditions, Overcrowded attractions",Maybe,Yes,shorter queue hil
26 - 35,Female,Employed,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,5,Group,"Thrill Rides, Food and Shopping",Jan - Mar,Weekends,4,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Puss In Boots' Giant Journey",3,No,,4,4,No,"[Hollywood] Universal Studios Store, [Hollywood] Candylicious, [Far Far Away] Fairy Godmother's Potion Shop",,3,3,Yes,"[Hollywood] Starbucks, [Far Far Away] Goldilocks",4,4,2,$20 - $30,5 - 10 mins,No issues,4,4,Yes,4,4,Poor weather conditions,Maybe,No,ticket could cheaper fansaircon weather v hot
18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,5,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays during Public/School Holidays,5,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Puss In Boots' Giant Journey",3,No,,5,4,Yes,[Hollywood] Minion Mart,> $30,3,5,Yes,"[Hollywood] Starbucks, [Sci-Fi City] Star Dots",5,4,2,< $10,5 - 10 mins,"Yes, issue resolved",5,4,Yes,5,5,"Long wait times, Ride breakdowns, Poor weather conditions, Overcrowded attractions",Yes,Yes,shorter queue cleaner toilet
18 - 25,Female,Student,Tourist,Resort World Sentosa Website,One-day regular ticket,No,4,Group,"Kid-friendly, Shows, Food and Shopping",Oct - Dec,Weekends,3,10 - 20 mins,Yes,"[New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Magic Potion Spin, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Happily Ever After",3,No,,4,4,Yes,[Hollywood] Universal Studios Store,> $30,3,3,Yes,"[Sci-Fi City] Frozen Fuel, [Sci-Fi City] Starbot Cafe",3,3,2,$20 - $30,> 10 mins,No issues,4,4,No,3,4,"Long wait times, Poor weather conditions, Limited dining options, Overcrowded attractions",Yes,Yes,shorter queue new ride haha
26 - 35,Female,Employed,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,5,Group,"Thrill Rides, Shows, Special Events (e.g. Halloween Horror Nights)",Jul - Sep,Weekdays,4,5 - 10 mins,Yes,"[Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey",5,No,,4,4,No,,,2,3,No,,2,3,1,,,No issues,4,4,No,4,4,Long wait times,Maybe,No,entertainment queuing shade ok place tourist boring go time
18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,4,Group,"Thrill Rides, Kid-friendly, Shows, Special Events (e.g. Halloween Horror Nights)",Jan - Mar,Weekdays,5,5 - 10 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",4,No,,3,4,No,,,1,4,Yes,[Hollywood] Mel's Drive-In,4,4,1,$10 - $20,5 - 10 mins,No issues,3,4,No,4,3,"Long wait times, Ride breakdowns, Poor weather conditions, Unfriendly staff, Overcrowded attractions",Maybe,Yes,
18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,No,4,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,4,< 5 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure",3,No,,4,4,Yes,[Hollywood] Minion Mart,$20 - $30,3,4,No,,3,3,3,,,No issues,4,4,Yes,3,4,Long wait times,Yes,Yes,lesser wait time
18 - 25,Male,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,4,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Jan - Mar,Weekdays,4,10 - 20 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld",3,No,,5,5,No,,,3,5,Yes,[New York] Loui's NY Pizza Parlour™,4,3,3,$10 - $20,5 - 10 mins,No issues,5,4,Yes,5,5,Long wait times,Yes,Yes,upgrade equipment dated better food option
18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,4,Group,"Thrill Rides, Food and Shopping, Special Events (e.g. Halloween Horror Nights)",Jul - Sep,Weekdays,4,5 - 10 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Shrek 4-D Adventure, [Far Far Away] Happily Ever After",3,No,,4,4,Yes,"[Hollywood] Universal Studios Store, [Hollywood] Minion Mart, [Hollywood] Hello Kitty Studio Store, [The Lost World] The Dino-Store, [Far Far Away] Fairy Godmother's Potion Shop",$10 - $20,3,4,Yes,[Hollywood] Mel's Drive-In,3,3,2,< $10,> 10 mins,No issues,4,3,No,4,4,"Long wait times, Limited dining options, Overcrowded attractions",Yes,Yes,shorter queue interesting themed display look queueing seating area larger entrance locker place belonging shorter queue timing affordable ticket price event new attraction
18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,No,3,Group,"Thrill Rides, Food and Shopping",Jul - Sep,Weekdays,4,10 - 20 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Shrek 4-D Adventure",3,No,,5,5,No,[Hollywood] Universal Studios Store,,1,4,Yes,[The Lost World] Jungle Bites,2,4,2,$10 - $20,5 - 10 mins,No issues,5,4,No,3,5,"Long wait times, Limited dining options, Overcrowded attractions",Yes,Yes,going there even less crowd better direction toilet discounted ticket singaporean
18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,4,Family,"Thrill Rides, Kid-friendly, Special Events (e.g. Halloween Horror Nights)",Jul - Sep,Weekdays,3,5 - 10 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",1,No,,4,3,No,,,2,3,Yes,"[Sci-Fi City] Frozen Fuel, [Ancient Egypt] Oasis Spice Cafe",2,3,3,> $30,5 - 10 mins,No issues,4,4,Yes,4,3,"Long wait times, Limited dining options, Overcrowded attractions",Yes,Yes,
18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,No,4,Group,"Kid-friendly, Shows, Special Events (e.g. Halloween Horror Nights)",Jan - Mar,Weekdays during Public/School Holidays,4,5 - 10 mins,Yes,"[New York] Lights, Camera, Action!, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Happily Ever After",2,No,,3,3,No,,,2,3,No,,2,3,2,,,No issues,4,3,Yes,4,3,"Long wait times, Poor weather conditions, Overcrowded attractions",Maybe,No,less queue ride cooling space
18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,5,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Jul - Sep,Weekdays,4,5 - 10 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Shrek 4-D Adventure",2,No,,4,4,No,,,2,5,Yes,"[Hollywood] Mel's Drive-In, [The Lost World] Jungle Bites",2,3,1,$10 - $20,5 - 10 mins,No issues,3,4,Yes,4,4,"Long wait times, Limited dining options",Yes,Yes,staff managing locker area queue money
> 55,Male,Employed,Singaporean,Physically at the entrance,One-day regular ticket,No,2,Family,"Thrill Rides, Food and Shopping",Apr - Jun,Weekends during Public/School Holidays,4,10 - 20 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Dino-Soarin",3,No,,3,2,Yes,"[Hollywood] Minion Mart, [Sci-Fi City] Transformers Supply Vault",$20 - $30,2,3,Yes,"[Hollywood] Starbucks, [The Lost World] Discovery Food Court, [The Lost World] Fossil Fuels",4,3,2,> $30,5 - 10 mins,No issues,4,2,No,2,4,"Long wait times, Overcrowded attractions",Yes,Yes,shorter queue seating area around park
> 55,Female,Employed,Singaporean,Physically at the entrance,One-day regular ticket,No,4,Family,"Thrill Rides, Kid-friendly, Food and Shopping",Apr - Jun,Weekends during Public/School Holidays,3,10 - 20 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Dino-Soarin",2,No,,4,4,Yes,"[Hollywood] Minion Mart, [The Lost World] The Dino-Store",$20 - $30,4,4,Yes,"[The Lost World] Discovery Food Court, [The Lost World] Fossil Fuels",4,3,2,$20 - $30,5 - 10 mins,No issues,4,2,No,3,4,"Long wait times, Overcrowded attractions",Yes,Yes,airconditioned ride seating area
36 - 45,Male,Retired,Tourist,"Third Party Vendor (e.g. Klook, Trip.com)",VIP Experience,No,2,Family,Food and Shopping,Apr - Jun,Weekends,2,10 - 20 mins,No,[New York] Sesame Street Spaghetti Chase,2,No,,2,3,No,[Hollywood] Universal Studios Store,,2,2,No,[Hollywood] Mel's Drive-In,1,2,1,,,No issues,1,1,Yes,1,2,,Yes,Yes,
46 - 55,Male,Retired,Tourist,"Third Party Vendor (e.g. Klook, Trip.com)",Regular ticket with Express Pass,No,1,Solo,"Shows, Food and Shopping",Jul - Sep,Weekdays during Public/School Holidays,1,> 20 mins,Yes,"[Hollywood] Trolls Hug Time Jubilee, [New York] Sesame Street Spaghetti Chase, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Sci-Fi City] Sci-Fi Games, [The Lost World] Dino-Soarin",3,Yes,4.0,4,4,No,,,3,4,Yes,"[Hollywood] Starbucks, [New York] Me Want Cookie!",4,4,2,$20 - $30,> 10 mins,No issues,4,2,No,2,3,"Long wait times, Limited dining options",Maybe,Yes,
46 - 55,Male,Retired,Tourist,Physically at the entrance,VIP Experience,Yes,1,Family,Kid-friendly,Apr - Jun,Weekdays during Public/School Holidays,2,5 - 10 mins,No,[Hollywood] Trolls Hug Time Jubilee,3,No,,3,1,Yes,"NA, [Hollywood] Universal Studios Store, [Sci-Fi City] Transformers Supply Vault",< $10,1,1,No,,2,2,1,,< 5 mins,No issues,2,1,No,1,2,"Poor weather conditions, Unfriendly staff",Maybe,Yes,
